PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
LPh7k,4r3/ppp4Q/2qb1k2/3Rn1B1/4P2P/8/PPP2Pr1/2K4R b - - 1 20,f6e6 h7f5,1585,82,84,631,mate mateIn1 middlegame oneMove,https://lichess.org/q3j504Sg/black#40,
ruJOw,2r5/1p2k3/p1p3RP/5nN1/1Pp2P2/P4K2/2P5/8 w - - 3 40,h6h7 f5h4 f3e4 h4g6,1500,500,100,0,advantage endgame fork short,https://lichess.org/JE5RJQHd#79,
zGSdV,8/8/8/7r/8/3k4/8/1R1K4 w - - 4 64,d1c1 d3c3 c1d1 h5h1 d1e2 h1b1,1605,75,94,2622,crushing endgame exposedKing long rookEndgame skewer,https://lichess.org/GrniLcbZ#127,
MdcJ2,r3k1nr/pp1n1ppp/3bp2q/2p5/3pPP2/3P1NN1/PPP3PP/R1BQK2R w KQkq - 3 10,f4f5 d6g3 e1e2 g3f4 c1f4 h6f4,1596,81,94,19178,crushing long opening,https://lichess.org/XWnxIamh#19,French_Defense French_Defense_Pelikan_Variation
tOKpY,2Qr4/3P1pk1/p2R2p1/7r/4pp1P/8/PP3q2/2KR4 w - - 0 32,c8d8 h5c5 c1b1 f2c2 b1a1 c2c1 d1c1 c5c1,1526,78,94,1438,backRankMate endgame mate mateIn4 sacrifice veryLong,https://lichess.org/cu9LFnoZ#63,
UdhCu,r1b3k1/5ppp/p2r4/1pN3q1/1P1pPp2/P4QnP/2P2RP1/R4BK1 b - - 1 27,d6f6 e4e5 g5e5 f3a8,1580,75,92,1637,crushing discoveredAttack middlegame pin short,https://lichess.org/7AyxS1Mn/black#54,
BVhKt,6k1/5p1p/b1Pp2p1/2pP4/1p1b1P2/1P5P/1r3NP1/3RB1K1 w - - 5 34,d1a1 b2f2 a1a6 f2a2,1619,96,90,40,crushing discoveredAttack discoveredCheck endgame short,https://lichess.org/Op6JB7as#67,
dGtjU,6k1/1pp4p/5qp1/3Pp3/p1Pp1r2/P6P/1PBQ1P1P/4R2K w - - 3 32,d2e2 f4f2 e2g4 f2c2,1664,76,92,324,crushing endgame short skewer,https://lichess.org/gPD4Mv9S#63,
nAEc6,8/8/R1p5/3pkp2/8/4P3/P3KP2/r7 b - - 3 48,c6c5 f2f4 e5e4 a6e6,1640,78,72,111,endgame mate mateIn2 rookEndgame short,https://lichess.org/Zqry9yXk/black#96,
sUq1b,4rrk1/pp3ppp/1q6/3P1b2/2PR1Q2/1P6/P1P3PP/RN4K1 w - - 3 18,b1d2 e8e4 f4e4 f5e4,1550,75,95,2131,advantage middlegame pin short,https://lichess.org/tJFroK4c#35,Sicilian_Defense Sicilian_Defense_Nyezhmetdinov-Rossolimo_Attack
