PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
V4afp,r1b1r1k1/ppqn2p1/4p3/2ppN2Q/5p2/4P1P1/PPP2KP1/R4R2 b - - 1 19,f4g3 f2e2 e8f8 f1f8,2411,136,81,11,advantage defensiveMove middlegame short,https://lichess.org/LEvqrsDs/black#38,
2QIRK,2k4r/p1pr3q/1pPb1p2/6p1/2QP4/6pb/PPNNP1B1/2R2RK1 w - - 2 21,c4a6 c8d8 c6d7 h3g2 a6c8 d8e7 g1g2 h7h3,2406,83,79,45,advantage middlegame sacrifice veryLong,https://lichess.org/9APuJZXL#41,
6Kp9g,6k1/1ppbb1pp/8/p1q5/2P1QPN1/P3p2P/1P1rB1P1/5R1K w - - 4 23,e2d3 d7f5 e4f5 c5f5 d3f5 e3e2,2371,78,92,960,advancedPawn advantage long middlegame sacrifice,https://lichess.org/Lpd9K5yN#45,
d2hIk,r3r1k1/p1p1qppp/bp3b2/3P4/1PP5/5N2/P2PBPPP/1QB1R1K1 w - - 2 17,c1b2 e7b4 b2f6 b4b1,2425,84,82,182,advantage middlegame short,https://lichess.org/c3kkw2W1#33,Elephant_Gambit Elephant_Gambit_Paulsen_Countergambit
XFrCC,R4rk1/2NP4/2p3p1/1b6/2pq4/8/4B3/3K3Q w - - 0 30,d1e1 d4c3 e1d1 f8a8,2439,83,73,70,advantage middlegame short,https://lichess.org/wFPegjE0#59,
7HL2N,7R/p1k2r2/q2p1B2/2p2R2/1pP1P3/1P1B4/1K6/8 w - - 0 44,f5f1 a6a3 b2c2 f7f6 f1f6 a3a2 c2d1 a2a1,2402,86,84,170,crushing endgame sacrifice veryLong,https://lichess.org/K4Uuzzss#87,
lIwQ2,8/2p2p2/p2p2p1/1p1P1k1p/1P3P1P/P4K2/2P3P1/8 b - - 0 29,f7f6 g2g4 h5g4 f3g3 f5e4 g3g4,2452,78,85,103,crushing endgame long pawnEndgame zugzwang,https://lichess.org/TNonJBrL/black#58,
LFJ2Z,r4r2/p1Q5/1p6/1k5P/2R5/5N2/Pq3PP1/6K1 b - - 0 32,a8c8 f3d4 b2d4 a2a4 b5a6 c7c8 f8c8 c4d4,2397,86,92,7249,crushing endgame master masterVsMaster sacrifice superGM veryLong,https://lichess.org/X4PBwZSD/black#64,
kVEKv,8/6pk/5p1p/1PQ5/2P1qP2/1B2n1P1/2P4P/6K1 w - - 1 32,g1f2 e4g2 f2e1 g2g1 e1e2 g1d1 e2e3 d1g1 e3e4 g1c5,2384,83,61,51,crushing endgame sacrifice skewer veryLong,https://lichess.org/mcc6oQj3#63,
3gold,8/6p1/2k3p1/p1Ppp3/P2P2P1/3K3P/8/8 b - - 0 33,g6g5 d4e5 c6c5 d3e3 d5d4 e3e4,2442,83,85,171,crushing endgame long pawnEndgame,https://lichess.org/l6WTETFZ/black#66,
