PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
6kwu2,8/ppp5/3p4/2PPp3/PP2P1k1/4K3/8/8 b - - 0 44,a7a6 a4a5 d6c5 b4c5,2389,80,80,51,crushing endgame pawnEndgame quietMove short,https://lichess.org/9vmJBLCv/black#88,
hlB3f,r3k1r1/p2b1p2/1p1P3n/2n2q1p/2BB4/1P2PN1P/P4PP1/R2Q1RK1 w q - 3 19,f3e5 g8g2 g1g2 f5h3 g2g1 e8c8,2402,87,88,343,advantage attraction castling defensiveMove kingsideAttack long middlegame sacrifice,https://lichess.org/5GUugoKD#37,
03sNB,r4rk1/1p2bp1q/p1n1p3/6B1/3P1Q2/P2R4/1P3PPP/R5K1 b - - 0 24,e7g5 f4g5 h7g6 g5d2,2352,83,77,47,advantage defensiveMove middlegame short,https://lichess.org/eKobz225/black#48,
hpUq5,r2qk1nr/ppp1b2p/6p1/3pQ3/4N2N/8/PP3PPP/n1BK1B1R w kq - 1 12,e5h8 d5e4 c1d2 d8d5,2404,84,81,313,advantage discoveredAttack discoveredCheck hangingPiece opening short,https://lichess.org/UuPRTpod#23,Nimzowitsch_Defense Nimzowitsch_Defense_Colorado_Countergambit_Accepted
baFDR,8/8/3k3K/7P/8/8/4R2r/8 w - - 1 64,h6g6 h2e2 h5h6 d6e7 h6h7 e2g2,2416,97,90,670,crushing endgame hangingPiece long rookEndgame,https://lichess.org/YL33sb9r#127,
CKsTZ,5r1k/p7/4p3/3p4/3P1PBq/4QP1P/Pr2K3/R5R1 w - - 0 29,e2d3 h4h7 f4f5 f8f5 d3c3 f5f3 c3b2 f3e3,2361,82,90,523,advantage middlegame pin veryLong,https://lichess.org/OdGheIJH#57,
DwEEF,r7/2Q2rk1/p3R3/1p1p1ppn/3P2q1/6P1/PP3PK1/1B5R w - - 3 34,e6g6 g7g6 c7c6 g6g7 h1h5 g4h5,2382,98,90,334,advantage hangingPiece long middlegame,https://lichess.org/VaYjBgmS#67,
ufCqB,3rRr1k/3P3p/p7/1pp2p2/B1PRp3/8/PP5P/2K5 b - - 0 31,c5d4 e8f8 d8f8 c4c5,2355,85,85,131,advantage defensiveMove endgame short,https://lichess.org/pxUzYRaM/black#62,
cvRy0,1q1r1rk1/1b3pbp/1p6/pN2n1p1/P1PB2n1/1Q2P1N1/2B3P1/R4RK1 b - - 1 23,e5c4 b3d3 f7f5 d3c4 b7d5 c4c7 g7d4 e3d4,2421,93,86,348,middlegame,https://lichess.org/yCKgXbFy/black#46,
9qrUt,1r2k2r/5p2/p7/2bP4/2PB2Pq/P7/R2Q2p1/5RK1 w k - 0 35,d2e3 e8d8 a2g2 h4h1,2443,84,84,285,crushing defensiveMove middlegame short,https://lichess.org/yzQi2dTF#69,
