PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
uSiOL,2r5/1B2rpb1/1p1k1q1p/2p1pPp1/PpPpQ1P1/1P1K1P1P/4R3/7R b - - 14 38,c8c7 e4d5,806,86,92,296,mate mateIn1 middlegame oneMove,https://lichess.org/ATGWwnH1/black#76,
yqibQ,7k/6p1/2B4p/p4p2/P4P2/1r3P2/5PK1/8 b - - 0 39,h8g8 c6d5 g8f8 d5b3,714,81,79,227,advantage endgame fork short,https://lichess.org/sSKR6SMa/black#78,
aMI64,r2qk1nr/ppp2pbp/2n3p1/4P3/6b1/4PN2/PPPNB1PP/R1BQK2R b KQkq - 2 8,c6e5 f3e5 g7e5 e2g4,900,86,91,1567,advantage capturingDefender discoveredAttack opening short,https://lichess.org/aIityvaE/black#16,Modern_Defense Modern_Defense_Other_variations
lqYLR,r1b1qrk1/ppp2p1p/5P2/5PQ1/2pP1n2/8/PPP2P1P/R4RK1 b - - 2 18,g8h8 g5g7,838,107,100,36,mate mateIn1 middlegame oneMove,https://lichess.org/igCLbmUF/black#36,Four_Knights_Game Four_Knights_Game_Halloween_Gambit
MrWj2,3b4/5ppk/p6p/5N2/2p5/2P3B1/Pr3PPP/3R2K1 w - - 0 29,d1d8 b2b1 d8d1 b1d1,861,120,0,17,backRankMate endgame mate mateIn2 short,https://lichess.org/KvJxJ1aL#57,
eoqYb,6k1/1r3p1p/4pPp1/3p4/3P4/RP3N1P/4bPP1/6K1 b - - 0 31,e2f3 a3a8 b7b8 a8b8,719,111,94,464,endgame mate mateIn2 short,https://lichess.org/swt03yKZ/black#62,
nbNiH,2r2rk1/pp3ppp/1q2p3/4nbNQ/3P4/1NP5/PP4PP/R4RK1 b - - 1 18,e5g6 h5h7,717,80,100,145,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/MVTNLCR7/black#36,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
NOqKE,2r5/p2n1p1k/5Pp1/1p5p/3PN2P/1Pr5/PK1R4/6R1 b - - 5 29,c3h3 e4g5 h7g8 g5h3,824,97,90,439,crushing endgame fork short,https://lichess.org/llkpET8m/black#58,
5dlZu,rr4k1/p1p2ppp/2Q5/3P4/3P4/1P2P3/P2KBn1q/R7 b - - 3 23,b8b6 c6a8 b6b8 a8b8,853,103,93,1721,backRankMate hangingPiece mate mateIn2 middlegame short,https://lichess.org/ewyFfjWp/black#46,
haaem,5rk1/pp4p1/3q4/2p5/2P2Pp1/2B2RQ1/PP6/6K1 b - - 0 28,g4f3 g3g7,803,101,96,247,endgame mate mateIn1 oneMove,https://lichess.org/9J7qU6Kv/black#56,
